Date,Close/Last,Volume,Open,High,Low
06/14/2021,$39.63,23408340,$40.03,$40.07,$39.38
06/11/2021,$40.15,21386920,$40.66,$40.67,$39.95
06/10/2021,$40.68,42613730,$39.9,$40.72,$39.89
06/09/2021,$39.81,29823960,$39,$39.84,$38.98
06/08/2021,$38.85,18880310,$39.07,$39.11,$38.475
06/07/2021,$38.99,24110730,$39.08,$39.6,$38.97
06/04/2021,$39.15,19375320,$39.05,$39.5,$39.015
06/03/2021,$38.97,17376290,$38.76,$39.04,$38.63
06/02/2021,$38.79,19629040,$38.64,$38.93,$38.54
06/01/2021,$38.5,23642430,$38.94,$39,$38.48
05/28/2021,$38.73,16160960,$38.75,$39.02,$38.68
05/27/2021,$38.65,38471250,$38.97,$39.18,$38.6
05/26/2021,$38.92,28036450,$39.29,$39.3,$38.78
05/25/2021,$39.33,25916300,$39.82,$39.8564,$39.24
05/24/2021,$39.81,16922320,$40.08,$40.14,$39.775
05/21/2021,$39.95,21144780,$40.21,$40.6,$39.91
05/20/2021,$40.12,18621080,$39.73,$40.25,$39.72
05/19/2021,$39.83,20209530,$39.9,$39.9,$39.43
05/18/2021,$40.05,15805530,$40.18,$40.345,$39.825
05/17/2021,$40.11,18084740,$40.07,$40.4,$40.01
05/14/2021,$40.02,18041050,$40.24,$40.32,$39.92
05/13/2021,$40.1,25423780,$39.5,$40.28,$39.5
05/12/2021,$39.69,26208610,$39.44,$39.92,$39.305
05/11/2021,$39.35,30568570,$39.68,$40.07,$39.23
05/10/2021,$39.86,30831870,$39.83,$40.28,$39.78
05/07/2021,$39.58,33807760,$39.05,$39.865,$39.05
05/06/2021,$39.19,54944940,$38.48,$39.23,$37.96
05/05/2021,$39.97,54348360,$40.18,$41.09,$38.93
05/04/2021,$39.95,52802170,$40,$40.17,$39.43
05/03/2021,$39.83,46638580,$39.04,$39.84,$38.96
04/30/2021,$38.65,28413180,$38.5,$38.895,$38.49
04/29/2021,$38.6,23569410,$38.99,$39,$38.305
04/28/2021,$38.81,21963320,$38.54,$38.94,$38.52
04/27/2021,$38.45,19061460,$38.51,$38.61,$38.35
04/26/2021,$38.68,19773360,$38.73,$38.74,$38.49
04/23/2021,$38.66,24389820,$38.63,$38.83,$38.43
04/22/2021,$38.64,33373610,$39.48,$39.5,$38.515
04/21/2021,$39.53,29364990,$39.14,$39.67,$39.13
04/20/2021,$39.03,26459370,$38.75,$39.24,$38.75
04/19/2021,$38.93,30905060,$38.6,$38.96,$38.3314
04/16/2021,$38.57,52829480,$37.87,$38.7,$37.81
04/15/2021,$37.6,24945790,$37.26,$37.74,$37.26
04/14/2021,$37.17,23842890,$37.17,$37.38,$36.96
04/13/2021,$37.16,33967420,$37.41,$37.65,$36.89
04/12/2021,$36.97,29944900,$36.48,$37.035,$36.33
04/09/2021,$36.6,31686710,$35.9,$36.81,$35.9
04/08/2021,$35.96,18129440,$35.96,$36.15,$35.87
04/07/2021,$35.91,21933830,$36.03,$36.24,$35.76
04/06/2021,$36.05,20722930,$36.26,$36.4,$36
04/05/2021,$36.28,22096890,$36.44,$36.57,$36.1
04/01/2021,$36.3,21319860,$36.3,$36.45,$36.02
03/31/2021,$36.23,26582690,$36.15,$36.43,$36.0433
03/30/2021,$36.11,26303300,$36.59,$36.63,$36.02
03/29/2021,$36.62,27004770,$36.03,$36.74,$35.9
03/26/2021,$36.25,27944460,$35.68,$36.29,$35.64
03/25/2021,$35.67,24875300,$35.65,$35.79,$35.25
03/24/2021,$35.61,22883390,$35.48,$35.93,$35.37
03/23/2021,$35.36,27970480,$35.82,$35.93,$35.32
03/22/2021,$36,25427460,$35.48,$36.01,$35.36
03/19/2021,$35.53,48348880,$35.75,$35.82,$35.4746
03/18/2021,$35.77,24729770,$35.53,$35.97,$35.52
03/17/2021,$35.79,42540080,$35.829,$35.96,$35.12
03/16/2021,$35.83,25022390,$35.47,$35.86,$35.31
03/15/2021,$35.41,21926050,$35.01,$35.43,$34.96
03/12/2021,$34.94,16342440,$34.56,$34.98,$34.51
03/11/2021,$34.71,24557860,$35.07,$35.12,$34.66
03/10/2021,$34.93,33501780,$34.64,$35.14,$34.52
03/09/2021,$34.45,25167100,$34.54,$34.85,$34.44
03/08/2021,$34.35,24352300,$34.48,$34.87,$34.33
03/05/2021,$34.39,30589930,$34.29,$34.55,$33.955
03/04/2021,$34.2,45449560,$34.26,$35.085,$33.84
03/03/2021,$34.39,46020160,$33.51,$34.4499,$33.44
03/02/2021,$33.51,27670390,$33.68,$33.89,$33.5
03/01/2021,$33.69,30407770,$33.59,$33.93,$33.51
02/26/2021,$33.49,41462750,$33.84,$33.9,$33.36
02/25/2021,$33.82,37506090,$33.82,$34.11,$33.54
02/24/2021,$33.75,30686120,$33.87,$34.05,$33.67
02/23/2021,$33.91,37624170,$34,$34.1899,$33.68
02/22/2021,$34.26,34322490,$34.33,$34.37,$34.04
02/19/2021,$34.44,28145260,$34.66,$34.68,$34.4
02/18/2021,$34.56,24052520,$34.78,$34.876,$34.52
02/17/2021,$34.89,26501080,$34.57,$34.9974,$34.46
02/16/2021,$34.69,28730340,$34.85,$34.8598,$34.56
02/12/2021,$34.72,25578650,$34.44,$34.95,$34.36
02/11/2021,$34.43,30885170,$34.8,$34.81,$34.28
02/10/2021,$34.74,29039860,$35,$35.08,$34.7
02/09/2021,$34.97,30170180,$34.8,$35.06,$34.76
02/08/2021,$34.82,31633900,$34.96,$35.0138,$34.74
02/05/2021,$34.92,31749590,$34.92,$35.08,$34.78
02/04/2021,$34.89,34284900,$34.81,$35.08,$34.7
02/03/2021,$34.84,38524230,$34.99,$35.2891,$34.78
02/02/2021,$34.99,84062440,$35.76,$35.78,$34.27
02/01/2021,$35.8,40395810,$35.93,$36.19,$35.72
01/29/2021,$35.9,60251860,$36.88,$36.88,$35.62
01/28/2021,$35.86,39466710,$35.95,$36.33,$35.84
01/27/2021,$36.24,50561180,$36.99,$37.04,$36.17
01/26/2021,$37.31,27718700,$37.27,$37.6,$37.16
01/25/2021,$37.28,31728460,$36.55,$37.29,$36.32
01/22/2021,$36.55,26271160,$36.32,$36.83,$36.25
01/21/2021,$36.48,33864110,$36.39,$36.59,$36.15
01/20/2021,$36.5,35400060,$36.79,$36.81,$36.46
01/19/2021,$36.73,33451280,$36.76,$37,$36.62
01/15/2021,$36.7,34287820,$36.68,$36.78,$36.4
01/14/2021,$36.75,30271990,$36.78,$36.96,$36.61
01/13/2021,$36.86,31027870,$37,$37.17,$36.64
01/12/2021,$37.18,47831080,$37.7,$37.7859,$36.82
01/11/2021,$37.77,47326590,$37.22,$37.83,$37.145
01/08/2021,$37.13,33462370,$37.16,$37.525,$36.9
01/07/2021,$37.06,27809480,$37.04,$37.15,$36.67
01/06/2021,$36.87,34962510,$36.83,$37.48,$36.77
01/05/2021,$37.19,29909380,$36.72,$37.37,$36.6
01/04/2021,$36.81,33565680,$36.87,$36.94,$36.27
12/31/2020,$36.81,30796520,$36.66,$36.92,$36.29
12/30/2020,$36.74,24889850,$37.03,$37.24,$36.7
12/29/2020,$37.05,23152070,$36.9,$37.2,$36.79
12/28/2020,$36.82,26993690,$37.36,$37.58,$36.68
12/24/2020,$37.27,14790140,$37.4,$37.57,$37.18
12/23/2020,$37.44,36181990,$37.01,$37.65,$36.88
12/22/2020,$36.74,34103900,$37.21,$37.33,$36.605
12/21/2020,$37.38,40891840,$37.28,$37.4,$36.91
12/18/2020,$37.68,60259180,$37.99,$38.09,$37.5
12/17/2020,$38.03,52036390,$37.83,$38.12,$37.31
12/16/2020,$37.84,56515270,$38.18,$38.47,$37.74
12/15/2020,$38.71,66003270,$39.06,$39.18,$38.21
12/14/2020,$39.21,94809750,$41.62,$41.66,$39.07
12/11/2020,$41.12,60737030,$41.97,$42.07,$40.69
12/10/2020,$41.73,57749200,$41.82,$42.22,$41.445
12/09/2020,$41.85,86118490,$43.07,$43.0797,$41.13
12/08/2020,$42.56,87039310,$41.4,$42.77,$41.35
12/07/2020,$41.25,48253740,$40.66,$41.4,$40.37
12/04/2020,$40.34,35368130,$39.89,$40.45,$39.89
12/03/2020,$40.09,68570060,$40.98,$41.03,$39.52
12/02/2020,$40.8,84347480,$40.47,$41.41,$40.3
12/01/2020,$39.41,72660820,$39.4,$40.5,$39.01
11/30/2020,$38.31,65425880,$37.95,$38.8,$37.6
11/27/2020,$37.23,25276960,$36.78,$37.26,$36.75
11/25/2020,$36.53,26955800,$36.53,$36.56,$36.24
11/24/2020,$36.6,42485260,$36.13,$36.74,$36.02
11/23/2020,$36.52,43673120,$37.03,$37.09,$36.21
11/20/2020,$36.7,60633850,$36.7,$37.31,$36.44
11/19/2020,$36.19,43261830,$36.6,$36.63,$35.86
11/18/2020,$36.32,63442680,$36.93,$37.42,$36.3
11/17/2020,$36.04,46984500,$36.489,$36.5,$35.82
11/16/2020,$36.489,71660460,$37.0071,$37.095,$36.0198
11/13/2020,$37.7499,38254930,$37.0168,$37.7841,$36.8556
11/12/2020,$36.704,44422020,$37.4176,$37.4762,$36.401
11/11/2020,$37.6326,55959200,$38.0041,$39.2943,$37.0462
11/10/2020,$37.8086,75988340,$39.5387,$39.6267,$37.5935
11/09/2020,$38.3169,218362300,$40.9169,$41.044,$37.5153
11/06/2020,$35.58,22647720,$35.5702,$35.8927,$35.2769
11/05/2020,$35.5702,32188800,$36.4108,$36.4597,$35.5702
11/04/2020,$36.489,38776610,$36.2251,$37.2612,$36.1273
11/03/2020,$35.3747,20528080,$35.6093,$35.795,$35.2672
11/02/2020,$35.4138,20332670,$35.1205,$35.4333,$34.7393
10/30/2020,$34.6807,24334780,$34.4461,$34.7344,$34.0551
10/29/2020,$34.4852,26134100,$34.6807,$34.8371,$33.8205
